gene_name
TBC1D8
FAM129B
C9orf117
MS4A18
SIAE
MIR3657
SPECC1
AK2
TTC39A
AKNAD1
AKNAD1
FLG
TOR1AIP1
TNNT2
ABHD1
CLASP1
FSTL5
LRP11
NUDT1
AOC1
PABPC1
PPP6C
SOHLH1
CREM
LRP4
OR10Q1
C2CD3
PZP
KRT73
OR6C75
PHC1P1
SDR39U1
SERINC4
SLC28A2
SMIM22
C17orf107
AKAP10
ZNF878
ZNF442
SIGLEC11
UMODL1
PFKL
C22orf29
IGLV3-32
PRICKLE3
CXorf67
FAM132A
PLCH2
TP73
NPHP4
NPHP4
RNF207
PER3
KIF1B
FBXO44
VPS13D
KAZN
EPHA2
LUZP1
MYOM3
UBXN11
SESN2
SERINC2
SPOCD1
MAP7D1
MACF1
PTPRF
ZCCHC11
ZYG11A
YIPF1
C1orf177
PCSK9
PGM1
LRRC53
MCOLN3
OLFM3
CLCC1
AMPD1
TTF2
ANP32E
ANP32E
GABPB2
ZNF687
S100A9
S100A6
FAM189B
ASH1L
RHBG
OR6K2
MNDA
ATF6
SLC19A2
KIAA1614
SMG7
HMCN1
PDC
PLA2G4A
F13B
ASPM
CRB1
IGFN1
TNNT2
CHIT1
BTG2
PIK3C2B
C1orf116
C1orf116
TRAF5
C1orf65
ENAH
GALNT2
GALNT2
CAPN9
HEATR1
RYR2
KIF26B
ALLC
KLF11
APOB
APOB
OST4
GTF3C2
CLIP4
CLIP4
ARHGEF33
ZFP36L2
EPAS1
MCFD2
ERLEC1
ZNF638
M1AP
MITD1
AFF3
CHST10
IL1R1
NPHP1
BIN1
PTPN18
GTDC1
NEB
NEB
CD302
DPP4
PPIG
METTL8
CYBRD1
CHRNA1
TTN
CCDC150
ALS2
NBEAL1
MDH1B
FN1
RUFY4
SLC11A1
WNT10A
CCDC108
ECEL1
TRPM8
AC079135.1
COL6A3
COL6A3
COL6A3
RBM44
CNTN6
COLQ
SGOL1
GOLGA4
ITGA9
ZNF660
MAP4
GMPPB
NEK4
ITIH4
PRKCD
DNAH12
FAM3D
ATXN7
LRIG1
CRYBG3
ZBED2
BOC
ARGFX
SLC41A3
MCM2
MCM2
COL6A6
NPHP3
PPP2R3A
CLSTN2
MFSD1
SMC4
SLC7A14
MFN1
KLHL24
ECE2
CHRD
MB21D2
EVC2
C4orf50
BST1
MED28
FAM184B
SLIT2
TBC1D1
APBB2
LIMCH1
THAP6
HSD17B13
TET2
SYNPO2
FAT4
FAT4
SLC7A11
MAML3
CLGN
CLGN
ARHGAP10
SH3D19
ASIC5
PDLIM3
FAM149A
FAM149A
SLC9A3
ZDHHC11
DNAH5
TTC23L
LMBRD2
NUP155
SETD9
MARVELD2
IQGAP2
ZFYVE16
DHFR
VCAN
GPR150
APC
FBN2
CTC-432M15.3
08-Sep
GDF9
CDKL3
CAMLG
TIFAB
PFDN1
PCDHGB7
DPYSL3
PDE6A
SLC36A2
SLC36A2
HMMR
TENM2
DOCK2
DOCK2
MXD3
PRR7
CANX
SERPINB6
PXDC1
ATXN1
KDM1B
KIAA0319
HIST1H1D
TRIM10
TRIM26
VARS2
NCR3
IP6K3
DAAM2
C6orf132
TBCC
MEA1
ENPP5
GPR111
GSTA3
SMPD2
CDC40
MCM9
TRMT11
VNN3
VNN3
NHSL1
SHPRH
ADGB
LATS1
SYNE1
SYNE1
IPCEF1
TIAM2
SYTL3
MAS1
MICALL2
MAD1L1
CARD11
VWDE
DNAH11
DNAH11
BBS9
PGAM2
ABCA13
FZD9
GNAT3
KIAA1324L
ADAM22
PON1
LMTK2
ZCWPW1
EPHB4
TRIM56
PMPCB
COG5
OPN1SW
TSGA13
DGKI
SVOPL
TBXAS1
MKRN1
TAS2R40
ABCB8
PRKAG2
MNX1
ERICH1
ARHGEF10
C8orf49
MTUS1
MTUS1
SORBS3
DOCK5
NUGGC
ELP3
DUSP4
MAK16
UNC5D
FGFR1
CLVS1
ZFHX4
NBN
DECR1
RAD54B
PTDSS1
LRRC6
DENND3
DENND3
MAPK15
PLEC
SPATC1
GPT
DOCK8
GLIS3
GLDC
FOCAD
FOCAD
ELAVL2
IFT74
UBAP2
RGP1
RECK
MELK
MAMDC2
ALDH1A1
PCSK5
ZNF169
ERCC6L2
CORO2A
ANKS6
GALNT12
AKNA
DFNB31
TNC
TNC
PAPPA
ASTN2
CDK5RAP2
OR1B1
CRB2
GAPVD1
CDK9
ENG
GLE1
NUP188
NUP188
C9orf50
AL354898.1
PRRC2B
TSC1
CAMSAP1
MAMDC4
DPH7
GTPBP4
AKR1C3
ITIH5
ITIH5
OPTN
RPP38
CUBN
NEBL
GPR158
MKX
BAMBI
NRP1
NAMPTL
RET
FAM170B
DNA2
KIAA1279
UNC5B
ECD
IFIT2
IDE
SLC35G1
CYP2C19
SFXN2
SORCS1
SEC23IP
DOCK1
PTPRE
TTC40
RNH1
AP2A2
MUC6
TSPAN32
OR51I1
FAM160A2
DCHS1
PPFIBP2
SCUBE2
GALNT18
MICAL2
MICALCL
SOX6
SAAL1
HPS5
FIBIN
LGR4
OR4C11
OR5D18
OR5AS1
LRRC55
TNKS1BP1
OR6Q1
OR9Q1
MS4A1
MS4A18
CD6
CD5
AHNAK
TUT1
EHBP1L1
CATSPER1
SUV420H1
PPFIA1
ATG16L2
DNAJB13
MAP6
DGAT2
UVRAG
FOLR4
MMP27
DYNC2H1
SLC35F2
ARHGAP20
SIDT2
RNF26
AP000783.1
ST14
SNX19
JAM3
NCAPD3
CACNA2D4
ACRBP
LEPREL2
A2ML1
PLCZ1
ETNK1
DENND5B
CPNE8
H1FNT
FAM186B
KRT2
HOXC4
OR10A7
OR6C3
OR6C75
OR6C70
OR6C68
RP11-762I7.5
STAT2
R3HDM2
ARHGEF25
SLC26A10
LGR5
VEZT
C12orf55
TMPO
UTP20
FAM222A
CUX2
CUX2
CCDC60
RAB35
MPHOSPH9
ZMYM5
ZMYM2
XPO4
USPL1
LHFP
VWA8
AKAP11
TBC1D4
SCEL
ABCC4
ATP11A
TEP1
TRAV2
TRAV26-2
PSMB11
PPP1R3E
ZFHX2
TGM1
NYNRIN
HECTD1
RALGAPA1
ATL1
NIN
WDHD1
DLGAP5
KIAA0586
SLC38A6
SLC38A6
SYNE2
ESR2
SLC39A9
FAM161B
CCDC176
