"","genes","p.value","FDR","perc_enrich","size","MaxZscore","DAM"
"PLA2G2F","PLA2G2F",1,1,0.0348351137947051,2153,2.9267275068443,"HMDB0009116, HMDB0009117, HMDB0009148, HMDB0009181, HMDB0009345, HMDB0009378, HMDB0010401, HMDB0008851, HMDB0008949, HMDB0011158, HMDB0008984, HMDB0008985, HMDB0009114, HMDB0009116, HMDB0009117, HMDB0009148, HMDB0009181, HMDB0009345, HMDB0009378, HMDB0007937, HMDB0008033, HMDB0008841, HMDB0008932, HMDB0008991, HMDB0009220, HMDB0009481, HMDB0007956, HMDB0007957, HMDB0008658, HMDB0008691, HMDB0009010, HMDB0009011, HMDB0009042, HMDB0009075, HMDB0009140, HMDB0009173, HMDB0009205, HMDB0009236, HMDB0009267, HMDB0009268, HMDB0009298, HMDB0009299, HMDB0009330, HMDB0009363, HMDB0009395, HMDB0009428, HMDB0009460, HMDB0009525, HMDB0009556, HMDB0009557, HMDB0009586, HMDB0009587, HMDB0009618, HMDB0009651, HMDB0009605, HMDB0009637, HMDB0009638, HMDB0009670, HMDB0009671, HMDB0009702, HMDB0007889, HMDB0007982, HMDB0007983, HMDB0008013, HMDB0008014, HMDB0008042, HMDB0008073, HMDB0008074, HMDB0008106, HMDB0008107, HMDB0008138, HMDB0008169, HMDB0008170, HMDB0008202, HMDB0008203, HMDB0008234, HMDB0008365, HMDB0008398, HMDB0008429, HMDB0008462, HMDB0008623"
"PLA2G4A","PLA2G4A",1,1,0.0350391885661595,2169,2.9267275068443,"HMDB0009116, HMDB0009117, HMDB0009148, HMDB0009181, HMDB0009345, HMDB0009378, HMDB0012108, HMDB0012108, HMDB0010401, HMDB0008851, HMDB0008949, HMDB0011158, HMDB0008984, HMDB0008985, HMDB0009114, HMDB0009116, HMDB0009117, HMDB0009148, HMDB0009181, HMDB0009345, HMDB0009378, HMDB0007937, HMDB0008033, HMDB0008841, HMDB0008932, HMDB0008991, HMDB0009220, HMDB0009481, HMDB0007956, HMDB0007957, HMDB0008658, HMDB0008691, HMDB0009010, HMDB0009011, HMDB0009042, HMDB0009075, HMDB0009140, HMDB0009173, HMDB0009205, HMDB0009236, HMDB0009267, HMDB0009268, HMDB0009298, HMDB0009299, HMDB0009330, HMDB0009363, HMDB0009395, HMDB0009428, HMDB0009460, HMDB0009525, HMDB0009556, HMDB0009557, HMDB0009586, HMDB0009587, HMDB0009618, HMDB0009651, HMDB0009605, HMDB0009637, HMDB0009638, HMDB0009670, HMDB0009671, HMDB0009702, HMDB0007889, HMDB0007982, HMDB0007983, HMDB0008013, HMDB0008014, HMDB0008042, HMDB0008073, HMDB0008074, HMDB0008106, HMDB0008107, HMDB0008138, HMDB0008169, HMDB0008170, HMDB0008202, HMDB0008203, HMDB0008234, HMDB0008365, HMDB0008398, HMDB0008429, HMDB0008462, HMDB0008623"
"PLA2G1B","PLA2G1B",1,1,0.0347705146036161,2157,2.9267275068443,"HMDB0009116, HMDB0009117, HMDB0009148, HMDB0009181, HMDB0009345, HMDB0009378, HMDB0010401, HMDB0008851, HMDB0008949, HMDB0011158, HMDB0008984, HMDB0008985, HMDB0009114, HMDB0009116, HMDB0009117, HMDB0009148, HMDB0009181, HMDB0009345, HMDB0009378, HMDB0007937, HMDB0008033, HMDB0008841, HMDB0008932, HMDB0008991, HMDB0009220, HMDB0009481, HMDB0007956, HMDB0007957, HMDB0008658, HMDB0008691, HMDB0009010, HMDB0009011, HMDB0009042, HMDB0009075, HMDB0009140, HMDB0009173, HMDB0009205, HMDB0009236, HMDB0009267, HMDB0009268, HMDB0009298, HMDB0009299, HMDB0009330, HMDB0009363, HMDB0009395, HMDB0009428, HMDB0009460, HMDB0009525, HMDB0009556, HMDB0009557, HMDB0009586, HMDB0009587, HMDB0009618, HMDB0009651, HMDB0009605, HMDB0009637, HMDB0009638, HMDB0009670, HMDB0009671, HMDB0009702, HMDB0007889, HMDB0007982, HMDB0007983, HMDB0008013, HMDB0008014, HMDB0008042, HMDB0008073, HMDB0008074, HMDB0008106, HMDB0008107, HMDB0008138, HMDB0008169, HMDB0008170, HMDB0008202, HMDB0008203, HMDB0008234, HMDB0008365, HMDB0008398, HMDB0008429, HMDB0008462, HMDB0008623"
"PLA2G12B","PLA2G12B",1,1,0.038422131147541,1952,2.9267275068443,"HMDB0009116, HMDB0009117, HMDB0009148, HMDB0009181, HMDB0009345, HMDB0009378, HMDB0010401, HMDB0008851, HMDB0008949, HMDB0011158, HMDB0008984, HMDB0008985, HMDB0009114, HMDB0009116, HMDB0009117, HMDB0009148, HMDB0009181, HMDB0009345, HMDB0009378, HMDB0007937, HMDB0008033, HMDB0008841, HMDB0008932, HMDB0008991, HMDB0009220, HMDB0009481, HMDB0007956, HMDB0007957, HMDB0008658, HMDB0008691, HMDB0009010, HMDB0009011, HMDB0009042, HMDB0009075, HMDB0009140, HMDB0009173, HMDB0009205, HMDB0009236, HMDB0009267, HMDB0009268, HMDB0009298, HMDB0009299, HMDB0009330, HMDB0009363, HMDB0009395, HMDB0009428, HMDB0009460, HMDB0009525, HMDB0009556, HMDB0009557, HMDB0009586, HMDB0009587, HMDB0009618, HMDB0009651, HMDB0009605, HMDB0009637, HMDB0009638, HMDB0009670, HMDB0009671, HMDB0009702, HMDB0007889, HMDB0007982, HMDB0007983, HMDB0008013, HMDB0008014, HMDB0008042, HMDB0008073, HMDB0008074, HMDB0008106, HMDB0008107, HMDB0008138, HMDB0008169, HMDB0008170, HMDB0008202, HMDB0008203, HMDB0008234, HMDB0008365, HMDB0008398, HMDB0008429, HMDB0008462, HMDB0008623"
"PLA2G10","PLA2G10",1,1,0.0329380764163373,2277,2.9267275068443,"HMDB0009116, HMDB0009117, HMDB0009148, HMDB0009181, HMDB0009345, HMDB0009378, HMDB0010401, HMDB0008851, HMDB0008949, HMDB0011158, HMDB0008984, HMDB0008985, HMDB0009114, HMDB0009116, HMDB0009117, HMDB0009148, HMDB0009181, HMDB0009345, HMDB0009378, HMDB0007937, HMDB0008033, HMDB0008841, HMDB0008932, HMDB0008991, HMDB0009220, HMDB0009481, HMDB0007956, HMDB0007957, HMDB0008658, HMDB0008691, HMDB0009010, HMDB0009011, HMDB0009042, HMDB0009075, HMDB0009140, HMDB0009173, HMDB0009205, HMDB0009236, HMDB0009267, HMDB0009268, HMDB0009298, HMDB0009299, HMDB0009330, HMDB0009363, HMDB0009395, HMDB0009428, HMDB0009460, HMDB0009525, HMDB0009556, HMDB0009557, HMDB0009586, HMDB0009587, HMDB0009618, HMDB0009651, HMDB0009605, HMDB0009637, HMDB0009638, HMDB0009670, HMDB0009671, HMDB0009702, HMDB0007889, HMDB0007982, HMDB0007983, HMDB0008013, HMDB0008014, HMDB0008042, HMDB0008073, HMDB0008074, HMDB0008106, HMDB0008107, HMDB0008138, HMDB0008169, HMDB0008170, HMDB0008202, HMDB0008203, HMDB0008234, HMDB0008365, HMDB0008398, HMDB0008429, HMDB0008462, HMDB0008623"
"LGALS13","LGALS13",1,1,0,11,0,""
"PLA2G2E","PLA2G2E",1,1,0.0348027842227378,2155,2.9267275068443,"HMDB0009116, HMDB0009117, HMDB0009148, HMDB0009181, HMDB0009345, HMDB0009378, HMDB0010401, HMDB0008851, HMDB0008949, HMDB0011158, HMDB0008984, HMDB0008985, HMDB0009114, HMDB0009116, HMDB0009117, HMDB0009148, HMDB0009181, HMDB0009345, HMDB0009378, HMDB0007937, HMDB0008033, HMDB0008841, HMDB0008932, HMDB0008991, HMDB0009220, HMDB0009481, HMDB0007956, HMDB0007957, HMDB0008658, HMDB0008691, HMDB0009010, HMDB0009011, HMDB0009042, HMDB0009075, HMDB0009140, HMDB0009173, HMDB0009205, HMDB0009236, HMDB0009267, HMDB0009268, HMDB0009298, HMDB0009299, HMDB0009330, HMDB0009363, HMDB0009395, HMDB0009428, HMDB0009460, HMDB0009525, HMDB0009556, HMDB0009557, HMDB0009586, HMDB0009587, HMDB0009618, HMDB0009651, HMDB0009605, HMDB0009637, HMDB0009638, HMDB0009670, HMDB0009671, HMDB0009702, HMDB0007889, HMDB0007982, HMDB0007983, HMDB0008013, HMDB0008014, HMDB0008042, HMDB0008073, HMDB0008074, HMDB0008106, HMDB0008107, HMDB0008138, HMDB0008169, HMDB0008170, HMDB0008202, HMDB0008203, HMDB0008234, HMDB0008365, HMDB0008398, HMDB0008429, HMDB0008462, HMDB0008623"
"LYPLA2","LYPLA2",1,1,0.0282828282828283,990,2.9267275068443,"HMDB0010401, HMDB0007937, HMDB0008033, HMDB0007956, HMDB0007957, HMDB0008658, HMDB0008691, HMDB0007889, HMDB0007982, HMDB0007983, HMDB0008013, HMDB0008014, HMDB0008042, HMDB0008073, HMDB0008074, HMDB0008106, HMDB0008107, HMDB0008138, HMDB0008169, HMDB0008170, HMDB0008202, HMDB0008203, HMDB0008234, HMDB0008365, HMDB0008398, HMDB0008429, HMDB0008462, HMDB0008623"
"PLA2G12A","PLA2G12A",1,1,0.0232558139534884,1161,2.9267275068443,"HMDB0007937, HMDB0008033, HMDB0007956, HMDB0007957, HMDB0008658, HMDB0008691, HMDB0007889, HMDB0007982, HMDB0007983, HMDB0008013, HMDB0008014, HMDB0008042, HMDB0008073, HMDB0008074, HMDB0008106, HMDB0008107, HMDB0008138, HMDB0008169, HMDB0008170, HMDB0008202, HMDB0008203, HMDB0008234, HMDB0008365, HMDB0008398, HMDB0008429, HMDB0008462, HMDB0008623"
"PLA2G6","PLA2G6",1,1,0.0360230547550432,2082,2.9267275068443,"HMDB0009116, HMDB0009117, HMDB0009148, HMDB0009181, HMDB0009345, HMDB0009378, HMDB0010401, HMDB0008851, HMDB0008949, HMDB0011158, HMDB0008984, HMDB0008985, HMDB0009114, HMDB0009116, HMDB0009117, HMDB0009148, HMDB0009181, HMDB0009345, HMDB0009378, HMDB0007937, HMDB0008033, HMDB0008841, HMDB0008932, HMDB0008991, HMDB0009220, HMDB0009481, HMDB0007956, HMDB0007957, HMDB0008658, HMDB0008691, HMDB0009010, HMDB0009011, HMDB0009042, HMDB0009075, HMDB0009140, HMDB0009173, HMDB0009205, HMDB0009236, HMDB0009267, HMDB0009268, HMDB0009298, HMDB0009299, HMDB0009330, HMDB0009363, HMDB0009395, HMDB0009428, HMDB0009460, HMDB0009525, HMDB0009556, HMDB0009557, HMDB0009586, HMDB0009587, HMDB0009618, HMDB0009651, HMDB0009605, HMDB0009637, HMDB0009638, HMDB0009670, HMDB0009671, HMDB0009702, HMDB0007889, HMDB0007982, HMDB0007983, HMDB0008013, HMDB0008014, HMDB0008042, HMDB0008073, HMDB0008074, HMDB0008106, HMDB0008107, HMDB0008138, HMDB0008169, HMDB0008170, HMDB0008202, HMDB0008203, HMDB0008234, HMDB0008365, HMDB0008398, HMDB0008429, HMDB0008462, HMDB0008623"
