"","genes","p.value","FDR","perc_enrich","size","MaxZscore","DAM"
"IMPDH2","IMPDH2",1,1,0,11,0,""
"ATIC","ATIC",1,1,0,10,0,""
"IMPDH1","IMPDH1",1,1,0,12,0,""
"ADSSL1","ADSSL1",1,1,0,9,0,""
"HDC","HDC",1,1,0,11,0,""
"SPTLC1","SPTLC1",1,1,0,9,0,""
"PSPH","PSPH",1,1,0,8,0,""
"SPTLC2","SPTLC2",1,1,0,7,0,""
"SUCLG1","SUCLG1",1,1,0,13,0,""
"PCK2","PCK2",1,1,0,8,0,""
"SUCLG2","SUCLG2",1,1,0,11,0,""
"PCK1","PCK1",1,1,0,7,0,""
"LDHAL6A","LDHAL6A",1,1,0,9,0,""
"PAICS","PAICS",1,1,0,9,0,""
"AGA","AGA",1,1,0,3,0,""
"IDH2","IDH2",1,1,0,9,0,""
"IDH3B","IDH3B",1,1,0,8,0,""
"IDH1","IDH1",1,1,0,9,0,""
"IDH3A","IDH3A",1,1,0,8,0,""
"IDH3G","IDH3G",1,1,0,8,0,""
"TNKS2","TNKS2",1,1,0,3,0,""
"TGDS","TGDS",1,1,0,6,0,""
"SIRT6","SIRT6",1,1,0,6,0,""
"GALE","GALE",1,1,0,6,0,""
"PARP3","PARP3",1,1,0,3,0,""
"ART3","ART3",1,1,0,5,0,""
"UGDH","UGDH",1,1,0,6,0,""
"ART5","ART5",1,1,0,5,0,""
"ART1","ART1",1,1,0,5,0,""
"HMGCR","HMGCR",1,1,0,13,0,""
"NNT","NNT",1,1,0,4,0,""
"TNKS","TNKS",1,1,0,3,0,""
"PARP1","PARP1",1,1,0,3,0,""
"UROC1","UROC1",1,1,0,6,0,""
"BST1","BST1",1,1,0,9,0,""
"PARP2","PARP2",1,1,0,3,0,""
"NADK","NADK",1,1,0,5,0,""
"CD38","CD38",1,1,0,9,0,""
"ART4","ART4",1,1,0,5,0,""
"MTHFD2","MTHFD2",1,1,0,14,0,""
"ADCY2","ADCY2",1,1,0,11,0,""
"PHGDH","PHGDH",1,1,0,8,0,""
"MTHFD1","MTHFD1",1,1,0,15,0,""
"PARP4","PARP4",1,1,0,3,0,""
"TSTA3","TSTA3",1,1,0,6,0,""
"NOS2","NOS2",0.00163991604349572,0.107168543581265,0.111111111111111,18,2.47868002136744,"HMDB0000904, HMDB0000904, HMDB0000904, HMDB0000027"
"OTC","OTC",0.000181930795626184,0.0152821868325995,0.2,5,2.38786601714243,"HMDB0000904, HMDB0000904, HMDB0000904"
"NOS1","NOS1",0.00246181977659582,0.154500413565669,0.125,16,2.47868002136744,"HMDB0000904, HMDB0000904, HMDB0000904, HMDB0000027"
"NOS3","NOS3",0.000756955366083524,0.0574024485946672,0.15,20,2.47868002136744,"HMDB0000904, HMDB0000904, HMDB0000904, HMDB0000027, HMDB0000787"
"GUK1","GUK1",1,1,0,6,0,""
"GGPS1","GGPS1",1,1,0,8,0,""
"FDPS","FDPS",1,1,0,10,0,""
"B3GAT3","B3GAT3",1,1,0,5,0,""
"B3GAT2","B3GAT2",1,1,0,3,0,""
"B3GAT1","B3GAT1",0.848419260465682,1,0.0454545454545455,44,2.23218623412545,"HMDB0006482, HMDB0012097"
"CSAD","CSAD",1,1,0,8,0,""
"ALDH1L1","ALDH1L1",1,1,0,7,0,""
"GCH1","GCH1",0.110189192251048,1,0.1,10,2.47868002136744,"HMDB0000027"
"DLST","DLST",1,1,0,7,0,""
"PIGQ","PIGQ",0.999979267301415,1,0.00222469410456062,899,2.23218623412545,"HMDB0000277, HMDB0012097"
"PIGA","PIGA",0.999979267301415,1,0.00222222222222222,900,2.23218623412545,"HMDB0000277, HMDB0012097"
"PIGH","PIGH",0.999979267301415,1,0.00222469410456062,899,2.23218623412545,"HMDB0000277, HMDB0012097"
"PIGP","PIGP",0.980708342678006,1,0.00384615384615385,520,2.23218623412545,"HMDB0000277, HMDB0012097"
"PIGC","PIGC",0.999979267301415,1,0.00222469410456062,899,2.23218623412545,"HMDB0000277, HMDB0012097"
"DERA","DERA",1,1,0,4,0,""
"POMT1","POMT1",1,1,0,6,0,""
"POMT2","POMT2",1,1,0,6,0,""
"CDO1","CDO1",1,1,0,5,0,""
"EBP","EBP",1,1,0,7,0,""
"POLB","POLB",1,1,0,8,0,""
"POLA1","POLA1",1,1,0,10,0,""
"POLD3","POLD3",1,1,0,4,0,""
"POLL","POLL",1,1,0,7,0,""
"POLE4","POLE4",1,1,0,7,0,""
"POLH","POLH",1,1,0,8,0,""
"POLD1","POLD1",1,1,0,6,0,""
"REV3L","REV3L",1,1,0,6,0,""
"POLE","POLE",1,1,0,7,0,""
"POLA2","POLA2",1,1,0,1,0,""
"POLM","POLM",1,1,0,7,0,""
"POLK","POLK",1,1,0,8,0,""
"POLE3","POLE3",1,1,0,7,0,""
"POLG","POLG",1,1,0,7,0,""
"POLI","POLI",1,1,0,7,0,""
"POLE2","POLE2",1,1,0,7,0,""
"SUCLA2","SUCLA2",1,1,0,14,0,""
"ALOX5","ALOX5",0.335456202071958,1,0.04,25,2.45614140179867,"HMDB0013974"
"ALOX15B","ALOX15B",1,1,0,7,0,""
"ALOX12","ALOX12",1,1,0,4,0,""
"PTGS2","PTGS2",7.65617364521933e-06,0.00147850399895648,0.0793650793650794,63,3.00639442877175,"HMDB0013840, HMDB0013974, HMDB0001335, HMDB0001381, HMDB0003235, HMDB0003235, HMDB0001335, HMDB0001381, HMDB0003235"
"PTGS1","PTGS1",4.92697991824275e-06,0.00107605241414422,0.0945945945945946,74,3.00639442877175,"HMDB0013840, HMDB0014995, HMDB0013974, HMDB0014720, HMDB0014613, HMDB0001381, HMDB0003235, HMDB0003235, HMDB0001381, HMDB0003235"
"ALOX15","ALOX15",1,1,0,7,0,""
"ALDOA","ALDOA",1,1,0,9,0,""
"ALDOC","ALDOC",1,1,0,9,0,""
"ALDOB","ALDOB",1,1,0,9,0,""
"ALG5","ALG5",1,1,0,5,0,""
"AUH","AUH",1,1,0,4,0,""
"ITPKB","ITPKB",1,1,0,5,0,""
"ITPKA","ITPKA",1,1,0,5,0,""
"UQCRC2","UQCRC2",1,1,0,3,0,""
"UQCR10","UQCR10",1,1,0,4,0,""
"UQCRC1","UQCRC1",1,1,0,3,0,""
"UQCRB","UQCRB",1,1,0,3,0,""
"MT-CYB","MT-CYB",1,1,0,1,0,""
"UQCRFS1","UQCRFS1",1,1,0,5,0,""
"CYC1","CYC1",1,1,0,4,0,""
"UQCRH","UQCRH",1,1,0,4,0,""
"GALNT11","GALNT11",1,1,0,5,0,""
"GALNT4","GALNT4",1,1,0,6,0,""
"GALNT3","GALNT3",1,1,0,6,0,""
"GALNT8","GALNT8",1,1,0,6,0,""
"GALNTL2","GALNTL2",1,1,0,6,0,""
"GALNTL1","GALNTL1",1,1,0,6,0,""
"GALNT10","GALNT10",1,1,0,6,0,""
"GALNT13","GALNT13",1,1,0,6,0,""
"WBSCR17","WBSCR17",1,1,0,5,0,""
"GALNTL4","GALNTL4",1,1,0,6,0,""
"GALNT7","GALNT7",1,1,0,5,0,""
"GALNT6","GALNT6",1,1,0,6,0,""
"GALNT14","GALNT14",1,1,0,6,0,""
"GALNT2","GALNT2",1,1,0,6,0,""
"GALNT12","GALNT12",1,1,0,6,0,""
"GALNT1","GALNT1",1,1,0,7,0,""
"GALNT5","GALNT5",1,1,0,6,0,""
"MECR","MECR",1,1,0,43,0,""
"PECR","PECR",1,1,0,37,0,""
"MMAB","MMAB",1,1,0,13,0,""
"CYP4F2","CYP4F2",0.00014078278910774,0.0130283733648857,0.153846153846154,13,2.51542713686358,"HMDB0002995, HMDB0002995, HMDB0001509, HMDB0001509"
"CYP4F3","CYP4F3",0.00014078278910774,0.0130283733648857,0.142857142857143,14,2.51542713686358,"HMDB0002995, HMDB0002995, HMDB0001509, HMDB0001509"
"LTA4H","LTA4H",0.0178526565290714,0.722040775175776,0.2,5,2.46847795859639,"HMDB0002995, HMDB0002995"
"MVD","MVD",1,1,0,8,0,""
"PMVK","PMVK",1,1,0,5,0,""
"CYP3A4","CYP3A4",3.1917303206309e-06,0.000829849883364033,0.0460251046025105,478,3.00639442877175,"HMDB0013840, HMDB0015052, HMDB0015052, HMDB0015301, HMDB0014501, HMDB0015086, HMDB0014440, HMDB0000234, HMDB0014995, HMDB0014426, HMDB0014440, HMDB0013974, HMDB0014440, HMDB0014906, HMDB0014720, HMDB0015428, HMDB0001830, HMDB0014613, HMDB0013866, HMDB0015699, HMDB0015187, HMDB0001913, HMDB0014874, HMDB0000733, HMDB0015187, HMDB0013846, HMDB0013846, HMDB0001913, HMDB0014874"
"FUT5","FUT5",1,1,0,2,0,""
"PPOX","PPOX",1,1,0,9,0,""
"ASPH","ASPH",1,1,0,6,0,""
"HIF1AN","HIF1AN",1,1,0,6,0,""
"PANK4","PANK4",8.34242725201687e-07,0.000253053626644512,0.25,8,2.87983893775431,"HMDB0000210, HMDB0000210, HMDB0000210, HMDB0000210, HMDB0000210, HMDB0006834"
"PANK2","PANK2",8.34242725201687e-07,0.000253053626644512,0.222222222222222,9,2.87983893775431,"HMDB0000210, HMDB0000210, HMDB0000210, HMDB0000210, HMDB0000210, HMDB0006834"
"PANK1","PANK1",8.34242725201687e-07,0.000253053626644512,0.25,8,2.87983893775431,"HMDB0000210, HMDB0000210, HMDB0000210, HMDB0000210, HMDB0000210, HMDB0006834"
"PANK3","PANK3",8.34242725201687e-07,0.000253053626644512,0.25,8,2.87983893775431,"HMDB0000210, HMDB0000210, HMDB0000210, HMDB0000210, HMDB0000210, HMDB0006834"
"NAGK","NAGK",1,1,0,5,0,""
"CHIA","CHIA",1,1,0,3,0,""
"NAGPA","NAGPA",1,1,0,2,0,""
"CHIT1","CHIT1",1,1,0,5,0,""
"B4GALT3","B4GALT3",1,1,0,5,0,""
"B4GALT4","B4GALT4",1,1,0,5,0,""
"ODC1","ODC1",1,1,0,9,0,""
"ARG2","ARG2",1,1,0,5,0,""
"CYP2C9","CYP2C9",3.99927710876665e-05,0.00485245622530353,0.0570342205323194,263,3.00639442877175,"HMDB0013840, HMDB0015052, HMDB0015052, HMDB0001389, HMDB0015086, HMDB0015202, HMDB0000234, HMDB0014995, HMDB0014426, HMDB0013974, HMDB0014720, HMDB0001830, HMDB0014613, HMDB0013866, HMDB0014708, HMDB0014708, HMDB0014708, HMDB0013846, HMDB0013846"
"CYP27A1","CYP27A1",0.670269309540978,1,0.0476190476190476,21,2.39561838796693,"HMDB0003533"
"CYP2C19","CYP2C19",0.000630669718384281,0.0484993896109602,0.0697674418604651,215,3.00639442877175,"HMDB0013840, HMDB0014892, HMDB0001389, HMDB0014501, HMDB0015086, HMDB0000234, HMDB0014995, HMDB0013974, HMDB0014720, HMDB0001830, HMDB0014613, HMDB0013866, HMDB0001913, HMDB0014874, HMDB0013846, HMDB0013846, HMDB0001913, HMDB0014874"
"PGD","PGD",1,1,0,15,0,""
"DECR1","DECR1",1,1,0,3,0,""
"CRYZ","CRYZ",1,1,0,4,0,""
"CYP27B1","CYP27B1",1,1,0,13,0,""
"CYP17A1","CYP17A1",0.0887104756925277,1,0.0952380952380952,21,2.27163246228885,"HMDB0000077, HMDB0001830"
"DECR2","DECR2",1,1,0,2,0,""
"UMPS","UMPS",1,1,0,9,0,""
"ACOT7","ACOT7",1,1,0,55,0,""
"ACOT2","ACOT2",1,1,0,55,0,""
"ACOT4","ACOT4",1,1,0,54,0,""
"ACOT8","ACOT8",0.253144873295,1,0.0185185185185185,54,2.57049185024861,"HMDB0000518"
"PPT1","PPT1",1,1,0,5,0,""
"PPT2","PPT2",1,1,0,6,0,""
"SGPL1","SGPL1",0.650434308067352,1,0.025,40,2.2259908538321,"HMDB0000277"
"MVK","MVK",1,1,0,5,0,""
"B3GALNT1","B3GALNT1",1,1,0,17,0,""
"PDXK","PDXK",0.00321286960462218,0.162428407789233,0.1,10,2.22319348904583,"HMDB0001545, HMDB0001545"
"TST","TST",1,1,0,9,0,""
"SUOX","SUOX",1,1,0,8,0,""
"FECH","FECH",1,1,0,6,0,""
"RFK","RFK",1,1,0,5,0,""
"ALAD","ALAD",1,1,0,5,0,""
"DIO1","DIO1",1,1,0,8,0,""
"DIO2","DIO2",1,1,0,8,0,""
"NPR2","NPR2",1,1,0,6,0,""
"GUCY1B3","GUCY1B3",1,1,0,7,0,""
"GUCY2D","GUCY2D",1,1,0,5,0,""
"GUCY1A3","GUCY1A3",1,1,0,6,0,""
"NPR1","NPR1",1,1,0,10,0,""
"GUCY2C","GUCY2C",1,1,0,5,0,""
"PPA1","PPA1",1,1,0,5,0,""
"GUCY1A2","GUCY1A2",1,1,0,7,0,""
"UGP2","UGP2",1,1,0,5,0,""
"DNTT","DNTT",1,1,0,3,0,""
"GUCY2F","GUCY2F",1,1,0,5,0,""
"GUCY1B2","GUCY1B2",1,1,0,6,0,""
"PAPOLA","PAPOLA",1,1,0,3,0,""
"UAP1","UAP1",1,1,0,8,0,""
"RNGTT","RNGTT",1,1,0,6,0,""
"PAPOLG","PAPOLG",1,1,0,3,0,""
"SPHK1","SPHK1",0.706628867601509,1,0.024390243902439,41,2.2259908538321,"HMDB0000277"
"SPHK2","SPHK2",0.253144873295,1,0.142857142857143,7,2.2259908538321,"HMDB0000277"
"ASAH1","ASAH1",1,1,0,122,0,""
"ENO3","ENO3",1,1,0,5,0,""
"ENO2","ENO2",1,1,0,6,0,""
"ENO1","ENO1",1,1,0,5,0,""
"RBKS","RBKS",1,1,0,9,0,""
"ENPP7","ENPP7",0.97867957123389,1,0.0132450331125828,151,2.23218623412545,"HMDB0006482, HMDB0012097"
"SMPD2","SMPD2",0.989474914556543,1,0.0130718954248366,153,2.23218623412545,"HMDB0006482, HMDB0012097"
"GYS2","GYS2",1,1,0,3,0,""
"GALT","GALT",1,1,0,5,0,""
"GYG1","GYG1",1,1,0,3,0,""
"GYS1","GYS1",1,1,0,3,0,""
"GYG2","GYG2",1,1,0,4,0,""
"DPAGT1","DPAGT1",1,1,0,5,0,""
"NUDT14","NUDT14",1,1,0,6,0,""
"PUS1","PUS1",1,1,0,2,0,""
"B4GALT5","B4GALT5",1,1,0,1,0,""
"ABO","ABO",1,1,0,5,0,""
"UGT8","UGT8",1,1,0,43,0,""
"B3GALT4","B3GALT4",1,1,0,64,0,""
"CHSY3","CHSY3",1,1,0,8,0,""
"CHPF","CHPF",1,1,0,7,0,""
"CHSY1","CHSY1",1,1,0,8,0,""
"NDUFB11","NDUFB11",1,1,0,8,0,""
"PGM1","PGM1",1,1,0,7,0,""
"SLC16A8","SLC16A8",1,1,0,1,0,""
"SLC16A3","SLC16A3",1,1,0,5,0,""
"SLC16A6","SLC16A6",1,1,0,1,0,""
"SLC16A1","SLC16A1",1,1,0,16,0,""
"SLC16A2","SLC16A2",0.00321286960462218,0.162428407789233,0.666666666666667,3,3.00639442877175,"HMDB0000929, HMDB0000158"
"SLC16A5","SLC16A5",1,1,0,1,0,""
"SLC16A4","SLC16A4",1,1,0,1,0,""
"SLC16A7","SLC16A7",1,1,0,6,0,""
"SLC25A11","SLC25A11",1,1,0,1,0,""
"PDF","PDF",1,1,0,2,0,""
"IMPA2","IMPA2",1,1,0,10,0,""
"CNGA3","CNGA3",1,1,0,4,0,""
"PRKG1","PRKG1",1,1,0,2,0,""
"CNGB3","CNGB3",1,1,0,3,0,""
"RAPGEF2","RAPGEF2",1,1,0.00078003120124805,1282,2.50718854956572,"HMDB0056293"
"CNGA1","CNGA1",1,1,0,1,0,""
"PRKG2","PRKG2",1,1,0,2,0,""
"HCN1","HCN1",1,1,0,2,0,""
"LPGAT1","LPGAT1",1,1,0,131,0,""
"HAAO","HAAO",1,1,0,4,0,""
"PTGIS","PTGIS",1.02950887825871e-05,0.00147850399895648,0.5,4,2.51542713686358,"HMDB0001335, HMDB0001381, HMDB0001335, HMDB0001381"
"MAST1","MAST1",1,1,0,3,0,""
"ATP11C","ATP11C",1,1,0.0320855614973262,2618,2.9267275068443,"HMDB0009116, HMDB0009117, HMDB0009148, HMDB0009181, HMDB0009345, HMDB0009378, HMDB0011350, HMDB0011351, HMDB0011377, HMDB0011378, HMDB0011409, HMDB0011442, HMDB0008851, HMDB0008949, HMDB0011158, HMDB0011368, HMDB0008984, HMDB0008985, HMDB0009114, HMDB0011343, HMDB0011405, HMDB0011438, HMDB0009116, HMDB0009117, HMDB0009148, HMDB0009181, HMDB0009345, HMDB0009378, HMDB0011350, HMDB0011351, HMDB0011377, HMDB0011378, HMDB0011409, HMDB0011442, HMDB0007937, HMDB0008033, HMDB0008841, HMDB0008932, HMDB0008991, HMDB0009220, HMDB0009481, HMDB0007956, HMDB0007957, HMDB0008658, HMDB0008691, HMDB0009010, HMDB0009011, HMDB0009042, HMDB0009075, HMDB0009140, HMDB0009173, HMDB0009205, HMDB0009236, HMDB0009267, HMDB0009268, HMDB0009298, HMDB0009299, HMDB0009330, HMDB0009363, HMDB0009395, HMDB0009428, HMDB0009460, HMDB0009525, HMDB0009556, HMDB0009557, HMDB0009586, HMDB0009587, HMDB0009618, HMDB0009651, HMDB0009605, HMDB0009637, HMDB0009638, HMDB0009670, HMDB0009671, HMDB0009702, HMDB0007889, HMDB0007982, HMDB0007983, HMDB0008013, HMDB0008014, HMDB0008042, HMDB0008073, HMDB0008074, HMDB0008106, HMDB0008107, HMDB0008138, HMDB0008169, HMDB0008170, HMDB0008202, HMDB0008203, HMDB0008234, HMDB0008365, HMDB0008398, HMDB0008429, HMDB0008462, HMDB0008623"
"ATP11A","ATP11A",1,1,0.0320855614973262,2618,2.9267275068443,"HMDB0009116, HMDB0009117, HMDB0009148, HMDB0009181, HMDB0009345, HMDB0009378, HMDB0011350, HMDB0011351, HMDB0011377, HMDB0011378, HMDB0011409, HMDB0011442, HMDB0008851, HMDB0008949, HMDB0011158, HMDB0011368, HMDB0008984, HMDB0008985, HMDB0009114, HMDB0011343, HMDB0011405, HMDB0011438, HMDB0009116, HMDB0009117, HMDB0009148, HMDB0009181, HMDB0009345, HMDB0009378, HMDB0011350, HMDB0011351, HMDB0011377, HMDB0011378, HMDB0011409, HMDB0011442, HMDB0007937, HMDB0008033, HMDB0008841, HMDB0008932, HMDB0008991, HMDB0009220, HMDB0009481, HMDB0007956, HMDB0007957, HMDB0008658, HMDB0008691, HMDB0009010, HMDB0009011, HMDB0009042, HMDB0009075, HMDB0009140, HMDB0009173, HMDB0009205, HMDB0009236, HMDB0009267, HMDB0009268, HMDB0009298, HMDB0009299, HMDB0009330, HMDB0009363, HMDB0009395, HMDB0009428, HMDB0009460, HMDB0009525, HMDB0009556, HMDB0009557, HMDB0009586, HMDB0009587, HMDB0009618, HMDB0009651, HMDB0009605, HMDB0009637, HMDB0009638, HMDB0009670, HMDB0009671, HMDB0009702, HMDB0007889, HMDB0007982, HMDB0007983, HMDB0008013, HMDB0008014, HMDB0008042, HMDB0008073, HMDB0008074, HMDB0008106, HMDB0008107, HMDB0008138, HMDB0008169, HMDB0008170, HMDB0008202, HMDB0008203, HMDB0008234, HMDB0008365, HMDB0008398, HMDB0008429, HMDB0008462, HMDB0008623"
"RIOK2","RIOK2",1,1,0,2,0,""
"MAP3K1","MAP3K1",1,1,0,3,0,""
"MAPK12","MAPK12",1,1,0,3,0,""
"CDK3","CDK3",1,1,0,2,0,""
"PIK3C2G","PIK3C2G",1,1,0,2,0,""
"GALK2","GALK2",1,1,0,8,0,""
"MAP4K3","MAP4K3",1,1,0,3,0,""
"MAP3K3","MAP3K3",1,1,0,3,0,""
"PIK3CD","PIK3CD",1,1,0,382,0,""
"DAPK3","DAPK3",1,1,0,3,0,""
"TXK","TXK",1,1,0,2,0,""
"DDR1","DDR1",1,1,0,3,0,""
"SRC","SRC",1,1,0,6,0,""
"RIPK3","RIPK3",1,1,0,2,0,""
"NTRK2","NTRK2",1,1,0,2,0,""
"ACVR2B","ACVR2B",1,1,0,4,0,""
"DAPK2","DAPK2",1,1,0,4,0,""
"ATP2B3","ATP2B3",1,1,0,6,0,""
"RAF1","RAF1",1,1,0.00078064012490242,1281,2.50718854956572,"HMDB0056293"
"NEK4","NEK4",1,1,0,3,0,""
"MYO3A","MYO3A",1,1,0,2,0,""
"MST1R","MST1R",1,1,0,2,0,""
"NLK","NLK",1,1,0,1,0,""
"RPS6KA2","RPS6KA2",1,1,0,1,0,""
"FLT4","FLT4",1,1,0,4,0,""
"GSK3B","GSK3B",1,1,0,3,0,""
"PRKCSH","PRKCSH",1,1,0,1,0,""
"KATNA1","KATNA1",1,1,0,5,0,""
"CLK4","CLK4",1,1,0,2,0,""
"ATP6V1G3","ATP6V1G3",1,1,0,4,0,""
"ERBB3","ERBB3",1,1,0,2,0,""
"EPHA5","EPHA5",1,1,0,2,0,""
"ATP10A","ATP10A",1,1,0.0320855614973262,2618,2.9267275068443,"HMDB0009116, HMDB0009117, HMDB0009148, HMDB0009181, HMDB0009345, HMDB0009378, HMDB0011350, HMDB0011351, HMDB0011377, HMDB0011378, HMDB0011409, HMDB0011442, HMDB0008851, HMDB0008949, HMDB0011158, HMDB0011368, HMDB0008984, HMDB0008985, HMDB0009114, HMDB0011343, HMDB0011405, HMDB0011438, HMDB0009116, HMDB0009117, HMDB0009148, HMDB0009181, HMDB0009345, HMDB0009378, HMDB0011350, HMDB0011351, HMDB0011377, HMDB0011378, HMDB0011409, HMDB0011442, HMDB0007937, HMDB0008033, HMDB0008841, HMDB0008932, HMDB0008991, HMDB0009220, HMDB0009481, HMDB0007956, HMDB0007957, HMDB0008658, HMDB0008691, HMDB0009010, HMDB0009011, HMDB0009042, HMDB0009075, HMDB0009140, HMDB0009173, HMDB0009205, HMDB0009236, HMDB0009267, HMDB0009268, HMDB0009298, HMDB0009299, HMDB0009330, HMDB0009363, HMDB0009395, HMDB0009428, HMDB0009460, HMDB0009525, HMDB0009556, HMDB0009557, HMDB0009586, HMDB0009587, HMDB0009618, HMDB0009651, HMDB0009605, HMDB0009637, HMDB0009638, HMDB0009670, HMDB0009671, HMDB0009702, HMDB0007889, HMDB0007982, HMDB0007983, HMDB0008013, HMDB0008014, HMDB0008042, HMDB0008073, HMDB0008074, HMDB0008106, HMDB0008107, HMDB0008138, HMDB0008169, HMDB0008170, HMDB0008202, HMDB0008203, HMDB0008234, HMDB0008365, HMDB0008398, HMDB0008429, HMDB0008462, HMDB0008623"
"PAK7","PAK7",1,1,0,1,0,""
"GSG2","GSG2",1,1,0,1,0,""
"PDK1","PDK1",1,1,0,3,0,""
"CDK10","CDK10",1,1,0,2,0,""
"NEK1","NEK1",1,1,0,3,0,""
"ACVR1","ACVR1",1,1,0,8,0,""
"MAP3K14","MAP3K14",1,1,0,2,0,""
"ROR2","ROR2",1,1,0,2,0,""
"MARK3","MARK3",1,1,0,2,0,""
"PRKCA","PRKCA",1,1,0.000710732054015636,1407,2.50718854956572,"HMDB0056293"
"PTK7","PTK7",1,1,0,2,0,""
"BUB1","BUB1",1,1,0,2,0,""
"STK38","STK38",1,1,0,4,0,""
"MAP4K1","MAP4K1",1,1,0,1,0,""
"EPHB1","EPHB1",1,1,0,2,0,""
"ATP6V1G1","ATP6V1G1",1,1,0,4,0,""
"IGF1R","IGF1R",1,1,0,3,0,""
"FLT3","FLT3",1,1,0,4,0,""
"MAPK1","MAPK1",1,1,0,7,0,""
"CDK8","CDK8",1,1,0,3,0,""
"ATP8B1","ATP8B1",1,1,0.0320855614973262,2618,2.9267275068443,"HMDB0009116, HMDB0009117, HMDB0009148, HMDB0009181, HMDB0009345, HMDB0009378, HMDB0011350, HMDB0011351, HMDB0011377, HMDB0011378, HMDB0011409, HMDB0011442, HMDB0008851, HMDB0008949, HMDB0011158, HMDB0011368, HMDB0008984, HMDB0008985, HMDB0009114, HMDB0011343, HMDB0011405, HMDB0011438, HMDB0009116, HMDB0009117, HMDB0009148, HMDB0009181, HMDB0009345, HMDB0009378, HMDB0011350, HMDB0011351, HMDB0011377, HMDB0011378, HMDB0011409, HMDB0011442, HMDB0007937, HMDB0008033, HMDB0008841, HMDB0008932, HMDB0008991, HMDB0009220, HMDB0009481, HMDB0007956, HMDB0007957, HMDB0008658, HMDB0008691, HMDB0009010, HMDB0009011, HMDB0009042, HMDB0009075, HMDB0009140, HMDB0009173, HMDB0009205, HMDB0009236, HMDB0009267, HMDB0009268, HMDB0009298, HMDB0009299, HMDB0009330, HMDB0009363, HMDB0009395, HMDB0009428, HMDB0009460, HMDB0009525, HMDB0009556, HMDB0009557, HMDB0009586, HMDB0009587, HMDB0009618, HMDB0009651, HMDB0009605, HMDB0009637, HMDB0009638, HMDB0009670, HMDB0009671, HMDB0009702, HMDB0007889, HMDB0007982, HMDB0007983, HMDB0008013, HMDB0008014, HMDB0008042, HMDB0008073, HMDB0008074, HMDB0008106, HMDB0008107, HMDB0008138, HMDB0008169, HMDB0008170, HMDB0008202, HMDB0008203, HMDB0008234, HMDB0008365, HMDB0008398, HMDB0008429, HMDB0008462, HMDB0008623"
"PHKG1","PHKG1",1,1,0,2,0,""
"JAK2","JAK2",1,1,0,2,0,""
"ICK","ICK",1,1,0,3,0,""
"MAPKAPK5","MAPKAPK5",1,1,0,3,0,""
"SIK1","SIK1",1,1,0,1,0,""
"PKN2","PKN2",1,1,0,2,0,""
"ATP1B3","ATP1B3",1,1,0,7,0,""
"ATP2B1","ATP2B1",1,1,0,6,0,""
"MELK","MELK",1,1,0,2,0,""
"PIP4K2A","PIP4K2A",1,1,0,3,0,""
"MAPK7","MAPK7",1,1,0,3,0,""
"TESK2","TESK2",1,1,0,2,0,""
"KHK","KHK",1,1,0,8,0,""
"ATP5E","ATP5E",1,1,0,4,0,""
"PRKACG","PRKACG",1,1,0,3,0,""
"PIK3CB","PIK3CB",1,1,0,382,0,""
"BMPR1A","BMPR1A",1,1,0,4,0,""
"CDKL5","CDKL5",1,1,0,2,0,""
"WEE1","WEE1",1,1,0,3,0,""
"MYLK2","MYLK2",1,1,0,3,0,""
"CDK17","CDK17",1,1,0,2,0,""
"ATP5D","ATP5D",1,1,0,10,0,""
"PTK6","PTK6",1,1,0,2,0,""
"PINK1","PINK1",1,1,0,3,0,""
"TYRO3","TYRO3",1,1,0,2,0,""
"ARAF","ARAF",1,1,0.00078125,1280,2.50718854956572,"HMDB0056293"
