"","x"
"640",1
"641",1
"642",2
"643",0
"644",0
"645",0
"646",0
"647",0
"648",6
"649",0
"650",0
"651",4
"652",0
"653",0
"654",0
"655",1
"656",0
"657",0
"658",2
"659",0
"660",0
"661",0
"662",0
"663",0
"664",0
"665",0
"666",0
"667",4
"668",0
"669",0
"670",0
"671",7
"672",0
"673",0
"674",0
"675",0
"676",2
"677",0
"678",0
"679",0
"680",0
"681",0
"682",2
"683",0
"684",1
"685",0
"686",1
"687",0
"688",1
"689",1
"690",0
"691",3
"692",0
"693",0
"694",0
"695",0
"696",0
"697",3
"698",1
"699",2
"700",0
"701",0
"702",0
"703",0
"704",0
"705",0
"706",0
"707",9
"708",1
"709",0
"710",0
"711",1
"712",0
"713",23
"714",0
"715",0
"716",3
"717",0
"718",0
"719",0
"720",1
"721",0
"722",0
"723",0
"724",0
"725",0
"726",5
"727",0
"728",0
"729",0
"730",0
"731",0
"732",0
"733",12
"734",0
"735",0
"736",1
"737",0
"738",0
"739",1
"740",0
"741",0
"742",2
"743",2
"744",0
"745",0
"746",0
"747",0
"748",12
"749",0
"750",12
"751",0
"752",13
"753",14
"754",0
"755",0
"756",2
"757",13
"758",0
"759",12
"760",23
"761",3
"762",2
"763",2
"764",0
"765",0
"766",3
"767",0
"768",0
"769",2
"770",0
"771",7
"772",7
"773",0
"774",1
"775",1
"776",2
"777",0
"778",0
"779",5
"780",0
"781",5
"782",0
"783",0
"784",0
"785",0
"786",9
"787",7
"788",8
"789",0
"790",1
"791",0
"792",1
"793",0
"794",0
"795",0
"796",1
"797",78
"798",0
"799",0
"800",1
"801",3
"802",5
"803",0
"804",1
"805",4
"806",0
"807",22
"808",4
"809",0
"810",0
"811",6
"812",11
"813",4
"814",7
"815",1
"816",0
"817",0
"818",0
"819",0
"820",4
"821",8
"822",7
"823",0
"824",8
"825",2
"826",8
"827",4
"828",0
"829",5
"830",1
"831",4
"832",0
"833",0
"834",8
"835",0
"836",0
"837",8
"838",2
"839",0
"840",0
"841",0
"842",0
"843",0
"844",0
"845",0
"846",1
"847",0
"848",1
"849",0
"850",0
"851",0
"852",3
"853",0
"854",0
"855",0
"856",0
"857",5
"858",7
"859",0
"860",0
"861",1
"862",1
"863",0
"864",0
"865",0
"866",0
"867",0
