"","C1","C2","C3","C4","C5","C6","C7","C8","C9","C10","IEM1"
"FT15420",29887.41761,44075.19518,12209.58036,40354.55349,39996.88562,36058.09653,49391.36184,58678.42828,16037.83758,62351.80271,46706.08031
"FT15421",11054.53855,12671.26203,12381.1961,19103.94398,15559.48895,11944.4719,11829.25104,12651.27377,13151.28974,22450.72143,15995.95184
"FT15422",13545.5353,16955.02487,35937.01014,19868.79319,20775.89568,19222.95669,16721.44745,27264.56607,8644.559489,36873.63074,20941.01143
"FT15423",9670.395991,10882.22444,10809.90051,7398.942713,12143.33919,10893.64076,10886.68672,8951.199664,9247.803622,10268.82095,10341.23979
"FT15424",18942.41987,43678.73988,26735.81446,38304.86289,36055.25262,26382.6129,19532.00156,55999.77098,24029.99504,51455.21588,35449.73036
"FT15425",290237.2665,86327.24899,261858.3221,111435.2928,369766.1638,87592.78884,64411.98549,125526.9679,48423.5638,61251.49213,357169.2598
"FT15426",59158.97708,91725.41148,96185.8685,102119.7236,98197.36397,67000.70647,55516.87626,87110.36849,59735.96075,155696.6137,84085.71501
"FT15427",4484.197178,6442.23306,5222.213759,7894.765783,3362.850659,5171.796327,4605.088024,5744.824904,3700.544066,6788.579504,6080.639356
"FT15428",59858.12103,49832.30662,54804.31853,76250.13957,53563.67112,51811.18976,49021.11913,74930.32961,27112.8359,72639.53009,53571.3526
"FT15429",6666.643596,6428.234825,7642.368074,12297.48866,9086.36015,7786.123967,9128.98565,23195.74897,3334.127698,14791.94003,10994.26785
"FT15430",10862.20224,4694.907788,8032.847136,26453.26176,10055.379,1844.859638,11370.45241,16923.34246,8115.86586,14159.73949,13388.04585
"FT15431",8714.118135,11356.35328,12327.54579,2570.336167,14634.74754,10532.11379,7633.127854,10091.4205,7274.509085,6234.763478,10267.69789
"FT15432",2922.934486,1411.332599,2473.812442,8087.449846,8605.679258,4027.958461,2272.990616,4680.892214,5376.173303,9976.823036,6997.709655
"FT15433",2270.077389,3621.641067,2298.27133,6247.619728,6208.453193,4614.512514,1880.096409,11116.32354,3641.243634,12737.31432,4195.126339
"FT15434",6118.841143,6521.007762,7285.191142,5485.488327,7186.074803,7483.755523,7199.18949,5251.380814,7212.699584,6513.616174,6600.045341
"FT15435",38623.58703,31267.96262,54101.316,35491.72467,41414.23096,40616.38849,39447.2657,28476.2062,52891.23482,25606.33171,58605.23894
"FT15436",54993.86926,82235.13403,86973.63153,88380.07414,89536.28663,64093.14162,50359.61899,81777.62927,54712.4947,138244.1238,74621.0018
"FT15437",14999.09755,13942.60848,19497.40748,21034.45164,25041.72051,20689.64412,27542.4834,20617.98284,7987.23796,50462.72187,21529.81248
"FT15438",160197.1192,178431.425,134249.6674,162349.2462,460702.5882,249706.5231,275333.1155,363100.9516,155327.5493,489114.1843,316788.5999
"FT15439",28134.36256,24157.67606,25549.01332,48040.13733,40913.37801,40623.34028,32740.55965,95864.31986,49472.0532,62751.05965,36823.94043
"FT15440",105579.2286,244774.733,152428.659,189063.154,208167.6432,144671.3161,96237.21043,170397.9545,92159.59814,224462.3087,173707.5415
"FT15441",42273.94803,27696.65884,37602.4342,36858.88648,38478.50628,37575.29324,43778.3912,27915.60441,59188.66941,39777.80135,47805.40105
"FT15442",5112.203874,NA,3211.836384,9594.277263,3785.61713,37558.85272,10095.98629,6048.147213,2383.396372,6511.826981,43119.81856
"FT15443",4932.883315,1283.050655,4905.622269,4650.837628,6071.515713,7194.196268,4962.599499,5003.375589,7373.997211,8713.273079,16881.02253
"FT15444",2802.268799,4134.634547,4801.848719,2772.112094,3498.797405,1791.096721,2824.655572,3293.799744,3627.112811,4225.031275,3762.050876
"FT15445",178480.6475,84426.42091,155734.9526,96870.09322,231115.7789,102937.4172,55871.74422,114003.1905,66776.58886,73041.6515,231924.6099
"FT15446",29738.60544,43419.51647,42278.42497,44386.77709,43328.27043,31099.64998,26457.55838,40979.9658,28599.97669,72359.81302,39797.27272
"FT15447",8247.216898,5520.612974,9831.484371,14444.82905,16174.79694,11631.82585,5884.672516,8858.920204,10194.83868,16947.10485,14576.56638
"FT15448",42233.11348,34117.467,42689.09318,42051.63452,39534.17123,21635.50609,43759.15804,40120.67491,47463.06912,28993.88629,45451.56944
"FT15449",2448.251574,5573.69287,6070.226687,1153.042797,5320.879296,4999.794628,3690.643682,5363.530043,1837.146216,3558.27782,5325.625237
"FT15450",6823.230206,11486.93647,6099.659362,10753.50598,6933.02732,4244.620467,9050.582662,15380.30964,6828.731396,17330.99292,7328.607802
"FT15451",2557.167242,2461.546057,3765.237188,2060.415299,2520.733705,4401.938856,4682.007535,4118.164286,2884.328034,3234.152057,4625.985574
"FT15452",12936.0127,8137.289249,10674.27375,8539.303921,10741.24924,11650.99743,10486.41836,9351.90775,13990.19606,10476.34084,14914.31047
"FT15453",877.0072639,611.8353736,2246.041332,1865.885546,1837.427235,1711.372164,1141.294091,410.1757475,2141.226369,1062.447986,2830.593088
"FT15454",11365.25138,16779.50628,16889.42416,18545.32856,17532.18993,13178.30872,12340.87512,17257.00045,10627.1691,29218.07838,15930.33523
"FT15455",13677.98755,15498.0781,15632.06587,14300.73551,15973.27161,15005.55204,14717.48291,18724.35256,14315.81814,16942.58555,14790.2352
"FT15456",9679.350429,11298.1859,14402.86672,20833.18056,19538.23625,7513.090751,18712.21742,16317.49428,4872.407549,34525.70358,14124.2172
"FT15457",84820.73502,96485.01011,63172.90062,65732.0257,231887.9234,129971.8925,141022.2174,171236.0237,88879.77355,253103.8417,161316.6137
"FT15458",3279.387917,2332.597495,2653.696275,7424.962945,6064.559997,2019.612988,8074.866504,14563.76061,10296.0736,16957.31841,11191.671
"FT15459",6520.15888,4175.488218,5854.503727,12783.60562,8651.921127,8682.184198,4690.177683,8444.936001,8446.291309,13659.38218,14089.71625
"FT15460",NA,NA,NA,NA,NA,NA,37104.72659,NA,NA,NA,91138.71271
"FT15461",52764.47128,24969.27045,43410.86885,26301.4702,65775.98321,31874.29138,17161.19779,35188.78471,17887.70265,23300.66813,67761.38731
"FT15462",3938.115293,5849.119367,5152.242835,6230.897814,5074.806147,3806.240245,2930.006565,5438.62548,3415.53675,10949.48135,4920.386638
"FT15463",3992.722023,3547.640221,4686.058721,6494.999613,2574.447473,3952.279268,4008.274729,10009.46558,5895.174781,13848.84888,4738.911323
"FT15464",1690.252341,2439.1329,1843.189881,470.2587189,3205.912253,5084.965766,2516.976296,4767.480361,2444.231506,1940.200042,3911.298352
"FT15465",4220.797828,7892.266435,5342.270223,11440.74385,8099.324248,5622.473902,8611.448617,11974.53728,5541.18247,15834.24015,12649.88362
"FT15466",4829.875457,1297.412576,10882.85633,1016.238301,6043.209037,5145.011644,2735.980921,2194.091402,4015.53139,1640.122383,8941.510233
"FT15467",5394.120006,5873.861066,9417.718659,4877.151675,7831.176739,7099.635888,5448.210866,5444.91096,4088.680015,5781.566137,6249.565884
"FT15468",32790.15185,42115.17004,40929.95372,46842.84002,42609.04374,36918.86585,29743.53152,53824.01799,25542.21042,54817.99688,41784.62052
