"","C1","C2","C3","C4","C5","C6","C7","C8","C9","C10","IEM1"
"FT02743",86537.65051,81060.26193,33813.90758,114261.2202,135204.3427,389912.4685,589664.1782,175713.0256,129420.1124,169485.7625,54125.59455
"FT02744",40614.83904,54285.3657,47912.22378,48770.04029,61112.10146,60654.71154,53704.85755,44907.783,47755.89909,53433.60753,67989.15916
"FT02745",763.3221665,287.4908122,2247.015925,2304.494776,213.7462851,15251.54104,21509.17685,1898.648409,28165.15376,4245.315759,13796.89621
"FT02746",32380.75498,76543.84115,49688.69534,36864.8537,20654.1885,44623.08102,4964.690185,1785.449902,92902.91498,20270.76074,26655.27942
"FT02747",2788.826351,1621.73319,2322.173513,1049.726951,3581.969747,2988.239292,NA,5435.889813,1414.135136,2665.116453,3639.803365
"FT02748",16489.14842,16019.37856,13539.58644,16651.04462,17735.61158,7785.811904,14199.82886,17573.52432,16465.22504,17895.31233,19022.83531
"FT02749",6911.213636,12369.98633,7066.396168,4734.800071,5023.041492,5136.953955,16021.1315,4143.506265,13926.26447,2822.170185,4047.416401
"FT02750",20724.1114,8393.255209,25739.54399,3420.670554,36642.8114,61299.86553,44475.73343,44346.99412,13593.94415,21977.81699,38182.27125
"FT02751",5288.843258,2173.12743,2285.625654,3319.892664,780.6123269,12854.24263,778.39703,NA,9472.400052,4350.852398,4392.328238
"FT02752",72800.12035,65961.11663,63193.56527,78798.56437,78444.00124,71955.42212,73725.8725,66792.12084,65006.54095,88092.38826,211736.0242
"FT02753",1058.385276,5019.644465,NA,NA,NA,NA,2775.573989,NA,NA,NA,11605.63788
"FT02754",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19931.22295
"FT02755",177740.9993,177038.1378,138280.5063,58541.27977,221309.3013,282050.0309,290445.7608,273982.2586,290308.3993,154556.4831,198193.347
"FT02756",85464.91185,54560.7134,45584.30614,27877.74548,46051.4051,45673.46066,33583.29998,27524.65827,38605.5507,52998.77883,162998.5325
"FT02757",6611.183606,1460.075458,5903.362505,1154.839347,9741.942785,24134.57394,13359.87841,25683.19409,1042.915102,7581.664013,9728.435886
"FT02758",19569.52776,6765.601773,8546.207909,8209.95765,9455.469446,20637.67086,14818.83426,27609.1389,3021.314632,4687.121652,7140.100481
"FT02759",7322.711211,17505.03486,5847.615376,11713.42566,11300.21795,8712.987334,14038.18185,24216.12211,1558.587582,8358.277005,8624.44049
"FT02760",1283.724405,2681.428925,2301.212042,1548.389008,2506.231401,3916.536984,3578.377732,8230.436598,3130.239003,3569.136956,4514.613653
"FT02761",6096.195299,2432.258865,8539.487669,9625.570786,4490.026941,3975.146199,4032.755574,845.2020839,2118.358782,1584.370933,6071.797704
"FT02762",3245.54984,4153.213746,3015.21547,2887.198417,3082.725406,1302.710524,886.2286288,2799.845652,5336.482505,301.7130797,2467.741962
"FT02763",179257.195,193614.6734,164546.207,75912.33982,160386.4289,124605.0171,98794.36084,97873.15115,157974.7808,96048.27747,130242.3205
"FT02764",13972.51914,14932.15962,16173.74741,11025.50526,16252.33093,16671.13577,14546.44596,15843.76826,20512.46959,13606.82777,15629.11084
"FT02765",11791.67261,10505.65862,3437.083756,14505.86853,17842.26809,47922.90914,75773.40561,20530.62371,14969.95185,21636.68907,7260.044051
"FT02766",18747.30521,13528.07024,21950.09642,12906.95288,23646.90501,19750.92668,12393.86569,56551.35493,31729.49273,24858.02682,31679.66868
"FT02767",49294.34053,43964.415,10167.57955,40056.05355,6662.54605,11357.61038,38344.52453,12106.31894,8830.984842,7066.272635,1583.468332
"FT02768",22383.4412,17811.49168,20988.14355,15443.55106,21448.65572,23016.83421,37217.31858,14158.92377,48649.14161,13935.96756,16538.02625
"FT02769",4409.254553,5825.640096,4108.257281,6456.073129,7736.41935,6907.922873,5827.607741,5476.881372,4726.376081,5079.148329,7327.287569
"FT02770",16418.22141,23472.89813,12488.08949,30350.85498,9952.311898,7234.749973,14137.20567,17741.62234,10943.06664,24875.66275,21219.52708
"FT02771",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4404.022175
"FT02772",22689.08179,24585.79678,19292.02851,7564.656784,29849.44641,35309.62732,34805.34297,35468.36696,32833.10993,19051.3217,31533.78001
"FT02773",5576.009447,3692.178814,5223.221217,16500.58062,10856.22551,4415.963528,4929.28308,3757.381186,2682.371793,7385.331511,11088.02502
