"","x"
"640",0
"641",1
"642",1
"643",1
"644",0
"645",0
"646",1
"647",0
"648",0
"649",0
"650",1
"651",0
"652",0
"653",0
"654",0
"655",0
"656",0
"657",0
"658",0
"659",2
"660",0
"661",0
"662",4
"663",0
"664",0
"665",3
"666",0
"667",0
"668",0
"669",1
"670",0
"671",0
"672",15
"673",3
"674",1
"675",1
"676",0
"677",1
"678",3
"679",8
"680",0
"681",0
"682",0
"683",0
"684",0
"685",3
"686",0
"687",7
"688",0
"689",0
"690",0
"691",0
"692",32
"693",32
"694",5
"695",32
"696",32
"697",5
"698",0
"699",1
"700",1
"701",7
"702",0
"703",0
"704",0
"705",0
"706",0
"707",0
"708",0
"709",0
"710",3
"711",7
"712",0
"713",0
"714",0
"715",0
"716",29
"717",0
"718",0
"719",0
"720",1
"721",44
"722",10
"723",1
"724",4
"725",0
"726",1
"727",0
"728",6
"729",26
"730",6
"731",11
"732",6
"733",26
"734",41
"735",0
"736",0
"737",6
"738",0
"739",0
"740",41
"741",0
"742",0
"743",1
"744",1
"745",0
"746",0
"747",0
"748",0
"749",0
"750",0
"751",9
"752",3
"753",0
"754",0
"755",0
"756",0
"757",13
"758",9
"759",0
"760",1
"761",0
"762",0
"763",1
"764",0
"765",1
"766",0
"767",0
"768",0
"769",0
"770",6
"771",1
"772",5
"773",0
"774",0
"775",0
"776",4
"777",0
"778",0
"779",0
"780",11
"781",1
"782",1
"783",1
"784",1
"785",1
"786",0
"787",0
"788",0
"789",0
"790",8
"791",0
"792",0
"793",0
"794",1
"795",0
"796",0
"797",0
"798",0
"799",0
"800",1
"801",10
"802",7
"803",7
"804",7
"805",7
"806",0
"807",0
"808",7
"809",0
"810",7
"811",1
"812",0
"813",6
"814",4
"815",0
"816",0
"817",0
"818",0
"819",0
"820",1
"821",0
"822",6
"823",0
"824",0
"825",1
"826",3
"827",1
"828",3
"829",2
"830",0
"831",0
"832",2
"833",1
"834",7
"835",0
"836",2
"837",3
"838",0
"839",0
"840",0
"841",0
"842",0
"843",0
"844",0
"845",0
"846",2
"847",0
"848",0
"849",0
"850",0
"851",0
"852",2
"853",5
"854",0
"855",0
"856",0
"857",0
"858",0
"859",0
"860",0
"861",0
"862",1
"863",0
"864",8
"865",0
"866",0
"867",0
"868",0
"869",0
"870",0
"871",0
"872",0
"873",0
"874",1
"875",0
"876",1
"877",31
"878",0
"879",0
"880",0
"881",0
"882",1
"883",6
"884",0
"885",1
"886",0
"887",0
"888",0
"889",0
"890",0
"891",0
"892",0
"893",0
"894",0
"895",0
"896",0
"897",0
"898",0
"899",0
"900",0
"901",0
"902",0
"903",0
"904",0
"905",0
"906",0
"907",0
"908",0
"909",32
"910",32
"911",9
"912",32
"913",1
"914",28
"915",32
"916",0
"917",0
"918",32
"919",32
"920",32
"921",6
"922",1
"923",0
"924",0
"925",6
"926",0
"927",32
"928",3
"929",32
"930",6
"931",0
"932",6
"933",9
"934",32
"935",0
"936",0
"937",0
"938",0
"939",3
"940",0
"941",7
"942",0
"943",4
"944",0
"945",0
"946",0
"947",0
"948",0
"949",7
"950",7
"951",3
"952",4
"953",7
"954",7
"955",2
"956",7
"957",1
"958",1
"959",0
"960",20
"961",29
"962",7
"963",7
"964",5
"965",29
"966",7
"967",7
"968",7
"969",0
"970",7
"971",0
"972",0
"973",1
"974",0
"975",1
"976",0
"977",4
"978",1
"979",0
"980",0
"981",0
"982",0
"983",11
"984",0
"985",0
"986",0
"987",0
"988",0
"989",0
"990",0
"991",0
"992",0
"993",0
"994",0
"995",17
"996",1
"997",16
"998",9
"999",0
"1000",0
"1001",0
"1002",0
"1003",0
"1004",2
"1005",3
"1006",3
"1007",2
"1008",0
"1009",0
"1010",0
"1011",1
"1012",0
"1013",13
"1014",16
"1015",0
"1016",0
"1017",0
"1018",0
"1019",8
"1020",0
"1021",0
"1022",4
"1023",0
"1024",0
"1025",0
"1026",0
"1027",0
"1028",0
"1029",0
"1030",0
"1031",4
"1032",4
"1033",0
"1034",0
"1035",4
"1036",4
"1037",0
"1038",1
"1039",8
"1040",4
"1041",1
"1042",2
"1043",0
"1044",0
"1045",0
"1046",3
"1047",0
"1048",0
"1049",3
"1050",0
"1051",0
"1052",0
"1053",0
"1054",0
"1055",1
"1056",1
"1057",0
"1058",0
"1059",2
"1060",8
"1061",1
"1062",1
"1063",1
"1064",1
"1065",2
"1066",1
"1067",0
"1068",0
"1069",0
"1070",0
"1071",0
"1072",0
"1073",1
"1074",1
"1075",0
"1076",0
"1077",0
"1078",3
"1079",2
